Id,SalePrice
1461,119274.7493
1462,155653.0499
1463,176213.3609
1464,189037.8363
1465,189422.3456
1466,173689.3833
1467,178834.9688
1468,159780.5665
1469,221334.2995
1470,109556.7878
1471,187084.1148
1472,89533.19121
1473,85536.65941
1474,138288.8272
1475,97773.99891
1476,355349.0847
1477,230825.1675
1478,313672.9264
1479,311881.1061
1480,432712.4251
1481,291917.4238
1482,206199.4585
1483,173043.4107
1484,177266.3845
1485,215615.5198
1486,203371.828
1487,312568.45
1488,228067.9574
1489,182938.1594
1490,241029.5373
1491,200554.7183
1492,105855.3217
1493,229039.3428
1494,296877.4313
1495,261544.6462
1496,253569.1443
1497,164856.2297
1498,156047.6022
1499,159874.9124
1500,149642.9759
1501,169587.0735
1502,134899.6854
1503,301131.033
1504,237741.3271
1505,213978.967
1506,199108.0301
1507,251289.9172
1508,204855.9183
1509,158182.1548
1510,137232.983
1511,139100.7086
1512,168860.4693
1513,160611.1175
1514,146773.1256
1515,214945.8117
1516,161368.5179
1517,175813.3551
1518,126001.8592
1519,214053.6279
1520,126295.0293
1521,120709.1083
1522,186195.7212
1523,93960.84221
1524,124850.0691
1525,104423.5782
1526,120958.9934
1527,105326.8853
1528,140013.252
1529,137998.9498
1530,212574.9634
1531,139684.6142
1532,118765.0122
1533,150991.7785
1534,136312.7228
1535,143249.2081
1536,104450.5846
1537,53961.58568
1538,176104.4374
1539,230325.9289
1540,132912.4898
1541,145505.4024
1542,142592.1143
1543,173365.8624
1544,95912.35558
1545,127108.4973
1546,140976.6808
1547,139033.198
1548,144110.6536
1549,113536.377
1550,142105.7993
1551,126866.3469
1552,171066.7355
1553,162590.9172
1554,119985.786
1555,167007.4933
1556,67900.65862
1557,92545.53618
1558,87247.58887
1559,79638.35828
1560,127931.9753
1561,128195.5451
1562,124270.473
1563,119389.2305
1564,143581.8072
1565,136524.4731
1566,255365.8645
1567,73814.01949
1568,233740.1483
1569,119611.3774
1570,152519.6419
1571,82177.31892
1572,136965.7023
1573,286131.5281
1574,130915.3626
1575,238568.8821
1576,249593.1087
1577,192852.9794
1578,157719.6595
